Rule 1: q0,0,_,q1,x,_,R,S
Rule 2: q0,1,_,q2,x,_,R,S
Rule 3: q0,_,_,q3,_,_,R,R
Rule 4: q1,0,_,q0,x,(,R,R
Rule 5: q1,1,_,q0,x,^,R,R
Rule 6: q2,0,_,q0,x,:,R,R
Rule 7: q2,1,_,q0,x,;,R,R
TM2tape.txt
Tape 0: 0001100001111001000010
Tape 1: _
1,1,1,0,q0,0,_,q1,x,_,R,S
2,4,2,1,q1,0,_,q0,x,(,R,R
3,1,3,1,q0,0,_,q1,x,_,R,S
4,5,4,2,q1,1,_,q0,x,^,R,R
5,2,5,2,q0,1,_,q2,x,_,R,S
6,6,6,3,q2,0,_,q0,x,:,R,R
7,1,7,3,q0,0,_,q1,x,_,R,S
8,4,8,4,q1,0,_,q0,x,(,R,R
9,1,9,4,q0,0,_,q1,x,_,R,S
10,5,10,5,q1,1,_,q0,x,^,R,R
11,2,11,5,q0,1,_,q2,x,_,R,S
12,7,12,6,q2,1,_,q0,x,;,R,R
13,2,13,6,q0,1,_,q2,x,_,R,S
14,6,14,7,q2,0,_,q0,x,:,R,R
15,1,15,7,q0,0,_,q1,x,_,R,S
16,5,16,8,q1,1,_,q0,x,^,R,R
17,1,17,8,q0,0,_,q1,x,_,R,S
18,4,18,9,q1,0,_,q0,x,(,R,R
19,1,19,9,q0,0,_,q1,x,_,R,S
20,4,20,10,q1,0,_,q0,x,(,R,R
21,2,21,10,q0,1,_,q2,x,_,R,S
22,6,22,11,q2,0,_,q0,x,:,R,R
23,3,23,12,q0,_,_,q3,_,_,R,R
Accepted
Tape 0: xxxxxxxxxxxxxxxxxxxxxx_
Tape 1: (^:(^;:^((:_
Tape 0: 000110
Tape 1: _
1,1,1,0,q0,0,_,q1,x,_,R,S
2,4,2,1,q1,0,_,q0,x,(,R,R
3,1,3,1,q0,0,_,q1,x,_,R,S
4,5,4,2,q1,1,_,q0,x,^,R,R
5,2,5,2,q0,1,_,q2,x,_,R,S
6,6,6,3,q2,0,_,q0,x,:,R,R
7,3,7,4,q0,_,_,q3,_,_,R,R
Accepted
Tape 0: xxxxxx_
Tape 1: (^:_
Tape 0: 000111
Tape 1: _
1,1,1,0,q0,0,_,q1,x,_,R,S
2,4,2,1,q1,0,_,q0,x,(,R,R
3,1,3,1,q0,0,_,q1,x,_,R,S
4,5,4,2,q1,1,_,q0,x,^,R,R
5,2,5,2,q0,1,_,q2,x,_,R,S
6,7,6,3,q2,1,_,q0,x,;,R,R
7,3,7,4,q0,_,_,q3,_,_,R,R
Accepted
Tape 0: xxxxxx_
Tape 1: (^;_
